"Name"	"TissueType"	"OncoTree1"	"OncoTree2"	"OncoTree3"	"OncoTree4"	"ccl_name"	"master_ccl_id"	"ccle_primary_site"	"ccle_primary_hist"	"ccle_hist_subtype_1"	"growth_mode"	"culture_media"	"media_composition"	"snp_fp_status"	"NAPY"	"TNBC"
"CHP-126"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"CHP126"	"143"	"autonomic_ganglia"	"neuroblastoma"	NA	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"CHP-212"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"CHP212"	"144"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"EMEM001"	"\"EMEM, 10% FBS\""	"SNP-not-tested"	NA	NA
"IMR-32"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"IMR32"	"475"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"EMEM001"	"\"EMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KELLY"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"KELLY"	"528"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KP-N-SI9s"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"KPNSI9S"	"571"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-not-tested"	NA	NA
"KP-N-YN"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"KPNYN"	"572"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MHH-NB-11"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"MHHNB11"	"678"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NB-1"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"NB1"	"720"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NH-6"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"NH6"	"852"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"ALPHAMEM002"	"\"AMEM, 20% FBS\""	"SNP-matched-reference"	NA	NA
"SIMA"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"SIMA"	"1030"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"SK-N-AS"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"SKNAS"	"1051"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"DMEM012"	"\"DMEM, 10% FBS, 0.1 mM NEAA\""	"SNP-matched-reference"	NA	NA
"SK-N-BE(2)"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"SKNBE2"	"1052"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"EMEMF12001"	"\"EMEM:F21 (1:1), 10% FBS\""	"SNP-matched-reference"	NA	NA
"SK-N-DZ"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"SKNDZ"	"1053"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"DMEM001"	"\"DMEM, 10% FBS\""	"SNP-not-tested"	NA	NA
"SK-N-FI"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"SKNFI"	"1055"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"DMEM012"	"\"DMEM, 10% FBS, 0.1 mM NEAA\""	"SNP-matched-reference"	NA	NA
"SK-N-SH"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"SKNSH"	"1058"	"autonomic_ganglia"	"neuroblastoma"	NA	"adherent"	"EMEM001"	"\"EMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HuCCT1"	"biliary_tract: carcinoma"	"Biliary_Tract"	NA	NA	NA	"HUCCT1"	"455"	"biliary_tract"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"HuH28"	"biliary_tract: carcinoma"	"Biliary_Tract"	NA	NA	NA	"HUH28"	"458"	"biliary_tract"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"SNU-1079"	"biliary_tract: carcinoma"	"Biliary_Tract"	NA	NA	NA	"SNU1079"	"1082"	"biliary_tract"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"SNU-1196"	"biliary_tract: carcinoma"	"Biliary_Tract"	NA	NA	NA	"SNU1196"	"1085"	"biliary_tract"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"SNU-245"	"biliary_tract: carcinoma"	"Biliary_Tract"	NA	NA	NA	"SNU245"	"1095"	"biliary_tract"	"carcinoma"	NA	"mixed"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"SNU-308"	"biliary_tract: carcinoma"	"Biliary_Tract"	NA	NA	NA	"SNU308"	"1097"	"biliary_tract"	"carcinoma"	NA	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
